"filename", "language", "TypeScript", "vue", "TypeScript React", "Less", "XML", "CSS", "comment", "blank", "total"
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\CountDown\src\useCountdown.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 11, 52
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\CountTo\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\CountTo\src\CountTo.vue", "vue", 0, 97, 0, 0, 0, 0, 0, 14, 111
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Cropper\index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Cropper\src\CopperModal.vue", "vue", 0, 261, 0, 0, 0, 0, 0, 23, 284
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Cropper\src\Cropper.vue", "vue", 0, 172, 0, 0, 0, 0, 0, 17, 189
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Cropper\src\CropperAvatar.vue", "vue", 0, 140, 0, 0, 0, 0, 0, 22, 162
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Cropper\src\typing.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Description\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Description\src\Description.vue", "vue", 0, 160, 0, 0, 0, 0, 0, 22, 182
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Description\src\typing.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 18, 6, 51
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Description\src\useDescription.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Drawer\index.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Drawer\src\BasicDrawer.vue", "vue", 0, 225, 0, 0, 0, 0, 0, 32, 257
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Drawer\src\components\DrawerFooter.vue", "vue", 0, 75, 0, 0, 0, 0, 0, 8, 83
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Drawer\src\components\DrawerHeader.vue", "vue", 0, 63, 0, 0, 0, 0, 0, 12, 75
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Drawer\src\props.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 6, 3, 45
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Drawer\src\typing.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 104, 25, 195
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Drawer\src\useDrawer.ts", "TypeScript", 136, 0, 0, 0, 0, 0, 3, 23, 162
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Dropdown\index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Dropdown\src\Dropdown.vue", "vue", 0, 89, 0, 0, 0, 0, 0, 8, 97
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Dropdown\src\typing.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Excel\index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Excel\src\Export2Excel.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 6, 9, 60
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Excel\src\ExportExcelModal.vue", "vue", 0, 86, 0, 0, 0, 0, 0, 6, 92
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Excel\src\ImportExcel.vue", "vue", 0, 147, 0, 0, 0, 0, 0, 11, 158
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\Excel\src\typing.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\rufeng\Desktop\proj\vben-admin-thin-next-main\src\components\FlowChart\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
